ID,卵或仔稚魚,風場,風場編號,海域,採樣日期,採樣西元年,採樣月,Month,風場編號+採樣年+月份,測站,日期+測站,民國年+測站,Type,科名,科中文名,學名,中文名,數量,濾水量(m^3),標準化豐度(ind./100m^3),Roundup,Egg diameter (mm),Oil globule (mm),Barcode No.,Date
1,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,1, Muraenidae,鯙科,Gymnothorax minor,小裸胸鯙 ,3,198.4858205,1.51144298,2,4,N/A,M-1,2017-07-28
2,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,2,Ophichthidae,蛇鰻科,Ophichthidae sp.,蛇鰻科sp.,4,198.4858205,2.015257307,3,3.05,N/A,M-2,2017-07-28
3,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,3, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,52,198.4858205,26.19834499,27,1.375,N/A,M-3,2017-07-28
4,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,4, Diodontidae,二齒魨科,Diodon holocanthus,六斑二齒魨 ,1,198.4858205,0.503814327,1,1.75,N/A,M-4,2017-07-28
5,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,5,Unknown,未知科別,unknown,未知物種,1,198.4858205,0.503814327,1,1.1,N/A,M-5,2017-07-28
6,魚卵,科技部,MOST-st.1,彰化海域,20170728,2017,7,July,MOST-st.1-2017-July,st.1,20170728-st.1,106-July-st.1,6, Centrolophidae,長鯧科,Psenopsis anomala,刺鯧 ,1,198.4858205,0.503814327,1,0.866666667,N/A,M-6,2017-07-28
7,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,1, Coryphaenidae,鱰科,Coryphaena hippurus,鬼頭刀 ,3,236.2744671,1.269709773,2,1.35,N/A,M-7,2017-07-28
8,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,2,Unknown,未知科別,unknown,未知物種,2,236.2744671,0.846473182,1,1.325,N/A,N/A,2017-07-28
9,魚卵,科技部,MOST-st.2,彰化海域,20170728,2017,7,July,MOST-st.2-2017-July,st.2,20170728-st.2,106-July-st.2,3, Carangidae,鰺科,Scomberoides tol,托爾逆鈎鰺 ,32,236.2744671,13.54357092,14,0.725,0.25,M-8,2017-07-28
10,魚卵,科技部,MOST-st.3,彰化海域,20170728,2017,7,July,MOST-st.3-2017-July,st.3,20170728-st.3,106-July-st.3,1,Ophichthidae,蛇鰻科,Ophichthidae sp.,蛇鰻科sp.,1,170.0489097,0.588066105,1,2.6,N/A,N/A,2017-07-28
