序號,年,月,日,時,航次代碼,測站,下網點緯度,下網點經度,起網點緯度,起網點經度,屬名,拉丁種名,學名,英文科名,中文科名,中文名稱,總數,總重(g),表水溫(℃),Sal(ppt),DO%,DO(mg/L),pH,Date,Time,下網點Lat,下網點Long,起網點Lat,起網點Long
12,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Dasyatis,akajei,Dasyatis akajei,Dasyatidae,魟科,赤魟,1,1081.1,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
13,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Dasyatis,zugei,Dasyatis zugei,Dasyatidae,魟科,尖嘴魟,1,448.4,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
14,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Diodon,holocanthus,Diodon holocanthus,Diodontidae,二齒魨科,六斑二齒魨,2,298.7,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
15,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Equulites,absconditus,Equulites absconditus,Leiognathidae,鰏科,秘馬鰏,4,5.6,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
16,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Fistularia,petimba,Fistularia petimba,Fistulariidae,馬鞭魚科,鱗馬鞭魚,1,77,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
17,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Lagocephalus,inermis,Lagocephalus inermis,Tetraodontidae,四齒魨科,黑鰓兔頭魨,1,282.5,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
18,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Lagocephalus,lunaris,Lagocephalus lunaris,Tetraodontidae,四齒魨科,月尾兔頭魨,1,826.9,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
19,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Suggrundus,meerdervoortii,Suggrundus meerdervoortii,Platycephalidae,牛尾魚科,大眼牛尾魚,1,73.7,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
20,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Takifugu,oblongus,Takifugu oblongus,Tetraodontidae,四齒魨科,橫紋多紀魨,1,50.9,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
21,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,3,7.8,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
22,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Triacanthus,biaculeatus,Triacanthus biaculeatus,Triacanthidae,三棘魨科,雙棘三棘魨,26,2609.4,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
23,2017,07,05,11,M-WF-1,FS40,N24°07.313,E120°00.156,N24°08.591,E120°00.525,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,19,106.1,30.1,33,104.8,7.91,8.08,2017-07-05,11:00:00,24.1218833333333,120.0026,24.1431833333333,120.00875
24,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Dasyatis,zugei,Dasyatis zugei,Dasyatidae,魟科,尖嘴魟,3,739.2,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
25,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Equulites,elongatus,Equulites elongatus,Leiognathidae,鰏科,長身馬鰏,17,30.3,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
26,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Neotrygon,kuhlii,Neotrygon kuhlii,Dasyatidae,魟科,古氏新魟,1,530,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
27,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Pseudorhombus,cinnamoneus,Pseudorhombus cinnamoneus,Paralichthyidae,牙鮃科,檸檬斑鮃,1,151.6,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
28,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Saurida,elongata,Saurida elongata,Synodontidae,合齒魚科,長體蛇鯔,1,62.5,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
29,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Saurida,undosquamis,Saurida undosquamis,Synodontidae,合齒魚科,花斑蛇鯔,2,16.4,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
30,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Sillago,japonica,Sillago japonica,Sillaginidae,沙鮻科,日本沙鮻,19,91.5,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
31,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Tarphops,oligolepis,Tarphops oligolepis,Paralichthyidae,牙鮃科,高體大鱗鮃,1,2.9,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
32,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,2,4,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
33,2017,09,12,07,M-WF-2,FS40,N24°06.846,E120°00.040,N24°05.624,E119°59.774,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,12,21.5,28.4,32.5,100.7,7.81,8.18,2017-09-12,07:00:00,24.1141,120.000666666667,24.0937333333333,119.996233333333
34,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Carangoides,hedlandensis,Carangoides hedlandensis,Carangidae,鰺科,海蘭德若鰺,1,109.6,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
35,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Pisodonophis,cancrivorus,Pisodonophis cancrivorus,Ophichthidae,蛇鰻科,食蟹荳齒蛇鰻,1,124.1,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
36,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Alepes,djedaba,Alepes djedaba,Carangidae,鰺科,吉打副葉鰺,1,44.1,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
37,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Cynoglossus,bilineatus,Cynoglossus bilineatus,Cynoglossidae,舌鰨科,雙線舌鰨,1,107.7,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
38,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Ephippus,orbis,Ephippus orbis,Ephippidae,白鯧科,圓白鯧,14,644.2,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
39,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Equulites,elongatus,Equulites elongatus,Leiognathidae,鰏科,長身馬鰏,3,5.8,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
40,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Equulites,absconditus,Equulites absconditus,Leiognathidae,鰏科,秘馬鰏,87,711.2,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
41,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Narcine,lingula,Narcine lingula,Narcinidae,雙鰭電鱝科,舌形雙鰭電鱝,2,613.1,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
42,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Pennahia,pawak,Pennahia pawak,Sciaenidae,石首魚科,斑鰭白姑魚,22,387.2,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
43,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Photopectoralis,bindus,Photopectoralis bindus,Leiognathidae,鰏科,黃斑光胸鰏,18,28.6,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
44,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Saurida,elongata,Saurida elongata,Synodontidae,合齒魚科,長體蛇鯔,28,715,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
45,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Saurida,undosquamis,Saurida undosquamis,Synodontidae,合齒魚科,花斑蛇鯔,10,101,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
46,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Secutor,ruconius,Secutor ruconius,Leiognathidae,鰏科,仰口鰏,69,154.3,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
47,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Sillago,sihama,Sillago sihama,Sillaginidae,沙鮻科,多鱗沙鮻,1,1.9,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
48,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,8,59.5,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
49,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Triacanthus,biaculeatus,Triacanthus biaculeatus,Triacanthidae,三棘魨科,雙棘三棘魨,1,34.2,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
50,2017,09,12,09,M-WF-2,FS20,N24°02.684,E120°16.277,N24°03.929,E120°16.944,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,2,2.1,29.7,32.8,103.1,7.84,8.11,2017-09-12,09:00:00,24.0447333333333,120.271283333333,24.0654833333333,120.2824
51,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Arius,arius,Arius arius,Ariidae,海鯰科,絲鰭海鯰,5,1505.4,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
52,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Bothidae,sp.,Bothidae sp.,Bothidae,鮃科,鮃科 sp.,1,1.007,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
53,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Dasyatis,acutirostra,Dasyatis acutirostra,Dasyatidae,魟科,尖吻魟,2,66.881,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
54,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Decapterus,maruadsi,Decapterus maruadsi,Carangidae,鰺科,藍圓鰺,7,591.683,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
55,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Ephippus,orbis,Ephippus orbis,Ephippidae,白鯧科,圓白鯧,3,269.03,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
56,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Equulites,absconditus,Equulites absconditus,Leiognathidae,鰏科,秘馬鰏,53,62.271,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
57,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Parastromateus,niger,Parastromateus niger,Carangidae,鰺科,烏鯧,1,499.4,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
58,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Rhynchobatus,australiae,Rhynchobatus australiae,Rhynchobatidae,龍紋鱝科,南方龍紋鱝,1,30050,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
59,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Sillago,sihama,Sillago sihama,Sillaginidae,沙鮻科,多鱗沙鮻,15,17.109,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
60,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Suggrundus,meerdervoortii,Suggrundus meerdervoortii,Platycephalidae,牛尾魚科,大眼牛尾魚,1,10.19,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
61,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Terapon,theraps,Terapon theraps,Terapontidae,鯻科,條紋鯻,8,1130.43,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
62,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,1,36.12,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
63,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Triacanthus,biaculeatus,Triacanthus biaculeatus,Triacanthidae,三棘魨科,雙棘三棘魨,1,145.75,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
64,2018,06,27,11,M-WF-4,FS40,N24°07.835,E120°00.374,N24°09.228,E120°00.728,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,34,236.372,30.6,32.6,139,8.7,8.26,2018-06-27,11:00:00,24.1305833333333,120.006233333333,24.1538,120.012133333333
65,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Alepes,kleinii,Alepes kleinii,Carangidae,鰺科,克氏副葉鰺,4,132.061,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
66,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Arius,arius,Arius arius,Ariidae,海鯰科,絲鰭海鯰,3,84.346,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
67,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Diagramma,pictum,Diagramma pictum,Haemulidae,石鱸科,密點少棘胡椒鯛,4,61.627,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
68,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Drepane,punctata,Drepane punctata,Drepaneidae,雞籠鯧科,斑點雞籠鯧,1,1.212,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
69,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Ephippus,orbis,Ephippus orbis,Ephippidae,白鯧科,圓白鯧,1,5.532,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
70,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Equulites,absconditus,Equulites absconditus,Leiognathidae,鰏科,秘馬鰏,1894,1686.353,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
71,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Eubleekeria,splendens,Eubleekeria splendens,Leiognathidae,鰏科,黑邊布氏鰏,1,4.419,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
72,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Gerres,erythrourus,Gerres erythrourus,Gerreidae,鑽嘴魚科,短鑽嘴魚,2,55.547,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
73,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Gobiidae,sp.,Gobiidae sp.,Gobiidae,鰕虎科,鰕虎科 sp.,1,0.651,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
74,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Johnius,sp.,Johnius sp.,Sciaenidae,石首魚科,叫姑魚屬 sp.,2,145.72,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
75,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Lagocephalus,lunaris,Lagocephalus lunaris,Tetraodontidae,四齒魨科,月尾兔頭魨,4,149.216,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
76,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Leiognathus,equulus,Leiognathus equulus,Leiognathidae,鰏科,短棘鰏,2,67.894,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
77,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Muraenesox,cinereus,Muraenesox cinereus,Muraenesocidae,海鰻科,灰海鰻,1,136.53,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
78,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Nemipterus,peronii,Nemipterus peronii,Nemipteridae,金線魚科,裴氏金線魚,1,8.458,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
79,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Pennahia,macrocephalus,Pennahia macrocephalus,Sciaenidae,石首魚科,大頭白姑魚,1,36.2,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
80,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Plectorhinchus,cinctus,Plectorhinchus cinctus,Haemulidae,石鱸科,花尾胡椒鯛,1,25.854,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
81,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Pomadasys,kaakan,Pomadasys kaakan,Haemulidae,石鱸科,星雞魚,3,433.7,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
82,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Saurida,elongata,Saurida elongata,Synodontidae,合齒魚科,長體蛇鯔,27,812.993,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
83,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Sciaenidae,spp. (Ju),Sciaenidae spp. (Ju),Sciaenidae,石首魚科,石首魚科幼魚,1,1.66,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
84,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Secutor,ruconius,Secutor ruconius,Leiognathidae,鰏科,仰口鰏,7,6.673,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
85,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Trachinocephalus,myops,Trachinocephalus myops,Synodontidae,合齒魚科,準大頭狗母魚,11,70.75,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
86,2018,06,27,14,M-WF-4,FS20,N24°01.935,E120°16.866,N24°02.223,E120°18.050,Upeneus,japonicus,Upeneus japonicus,Mullidae,鬚鯛科,日本緋鯉,6,6.002,29.3,33.3,107.2,6.82,8.19,2018-06-27,14:00:00,24.03225,120.2811,24.03705,120.300833333333
